国家/地区,点击次数,展示,点击率,排名
美国,0,548,0%,13
加拿大,0,33,0%,20.67
英国,0,23,0%,20.04
巴西,0,22,0%,5.68
新加坡,0,15,0%,5.53
中国,0,13,0%,8.31
德国,0,13,0%,9.85
越南,0,12,0%,6.92
印度,0,11,0%,9.82
阿根廷,0,8,0%,4.5
墨西哥,0,7,0%,7.14
澳大利亚,0,7,0%,26.14
法国,0,6,0%,5.33
马来西亚,0,6,0%,7.33
西班牙,0,6,0%,7.83
日本,0,5,0%,6
韩国,0,5,0%,6.8
菲律宾,0,5,0%,8.8
摩洛哥,0,5,0%,19
孟加拉,0,4,0%,4.75
巴基斯坦,0,4,0%,6.75
多米尼加共和国,0,4,0%,7.5
埃及,0,4,0%,9.25
哥伦比亚,0,4,0%,9.75
厄瓜多尔,0,3,0%,4.67
瑞士,0,3,0%,6
乌克兰,0,3,0%,6
印度尼西亚,0,3,0%,7.33
中国香港,0,3,0%,7.67
伊朗,0,3,0%,8.33
智利,0,3,0%,8.67
土耳其,0,3,0%,8.67
立陶宛,0,3,0%,10
阿拉伯联合酋长国,0,3,0%,13
奥地利,0,3,0%,23.33
比利时,0,3,0%,32
特立尼达和多巴哥,0,2,0%,2.5
肯尼亚,0,2,0%,4
塞尔维亚,0,2,0%,5
斯洛文尼亚,0,2,0%,5
古巴,0,2,0%,5.5
波兰,0,2,0%,6
丹麦,0,2,0%,6.5
阿塞拜疆,0,2,0%,8.5
哥斯达黎加,0,2,0%,9.5
俄罗斯,0,2,0%,12.5
荷兰,0,2,0%,15
爱沙尼亚,0,1,0%,1
伊拉克,0,1,0%,1
希腊,0,1,0%,2
沙特阿拉伯,0,1,0%,2
佛得角,0,1,0%,3
乌兹别克斯坦,0,1,0%,4
巴林,0,1,0%,5
克罗地亚,0,1,0%,7
罗马尼亚,0,1,0%,7
斐济,0,1,0%,8
以色列,0,1,0%,8
秘鲁,0,1,0%,8
台湾,0,1,0%,8
坦桑尼亚,0,1,0%,8
匈牙利,0,1,0%,9
哈萨克斯坦,0,1,0%,9
葡萄牙,0,1,0%,9
保加利亚,0,1,0%,10
阿尔及利亚,0,1,0%,10
泰国,0,1,0%,10
南非,0,1,0%,10
瑞典,0,1,0%,11
巴巴多斯,0,1,0%,12
中非共和国,0,1,0%,12
卢旺达,0,1,0%,12
突尼斯,0,1,0%,12
萨尔瓦多,0,1,0%,13
委内瑞拉,0,1,0%,13
玻利维亚,0,1,0%,19
布基纳法索,0,1,0%,31
埃塞俄比亚,0,1,0%,31
巴拉圭,0,1,0%,39